pr_document_id,pr_document_name,pr_rules_targeting,concept_id,reuse_class,fl_candidate,fl_authority,fl_level,fl_basis,confidence,notes
DOC_CERT_INCORPORATION,Certificate of Incorporation,1,CON_ENTITY_FORMATION_CORP,FL_EQUIVALENT,Articles of Incorporation (for-profit corporation),FL Dept of State - Division of Corporations (Sunbiz),state,Ch. 607 F.S.,known,
DOC_ARTICLES_ORGANIZATION,Articles of Organization,0,CON_ENTITY_FORMATION_LLC,FL_EQUIVALENT,Articles of Organization (Florida LLC),FL Dept of State - Division of Corporations (Sunbiz),state,Ch. 605 F.S.,known,
DOC_FOREIGN_CORPORATION_AUTHORIZATION,Certificate of Authorization to Do Business (Foreign Corporation),1,CON_FOREIGN_QUALIFICATION,FL_SPLIT,Application for Authorization to Transact Business (foreign corp) / foreign LLC authority,FL Dept of State - Division of Corporations (Sunbiz),state,s. 607.1503 / s. 605.0902 F.S.,verify,split by entity type; Q_ENTITY_FOREIGN_CORP text needs pack-driven jurisdiction name
DOC_LLP_REGISTRATION,Limited Liability Partnership Registration,1,CON_LLP_REGISTRATION,FL_EQUIVALENT,LLP statement of qualification,FL Dept of State - Division of Corporations (Sunbiz),state,Ch. 620 F.S.,verify,
DOC_DBA_REGISTRATION,DBA / Trade Name Registration,0,CON_TRADE_NAME,FL_EQUIVALENT,Fictitious Name Registration,FL Dept of State - Division of Corporations (Sunbiz),state,s. 865.09 F.S.,known,REQUIRED (not recommended) in FL when operating under a name other than the legal name; 5-year term; move out of docMappings.recommended
DOC_EIN,IRS EIN Confirmation Letter,2,CON_FEDERAL_EIN,FEDERAL_REUSE,IRS EIN Confirmation Letter (CP 575),IRS,federal,26 U.S.C. 6109,known,reuse node + SS-4 form mapping as-is
DOC_MERCHANT_REGISTRATION,Merchant Registration Certificate (Registro de Comerciante),1,CON_SALES_TAX_REGISTRATION,FL_EQUIVALENT,Sales & Use Tax Certificate of Registration (apply via Form DR-1),FL Dept of Revenue,state,s. 212.18 F.S.,known,annual resale certificate follows
DOC_SURI_REGISTRATION,SURI Account Registration,0,CON_SALES_TAX_REGISTRATION,MERGE,(fold into DOR registration / e-Services account),FL Dept of Revenue,state,,verify,"SURI is a PR portal account, not an obligation in FL"
DOC_PERMISO_UNICO,Permiso Único,17,CON_OPERATING_AUTHORIZATION,FL_SPLIT,No single consolidated permit. Splits into: zoning use approval / Certificate of Use + local fire inspection + activity-specific state license (DBPR/FDACS/DOH),Local zoning (city or county) + local fire authority + state licensing agency,county_or_municipality,,known,17 PR rules target this doc - largest rewiring item; FL resolution depends on city vs unincorporated
DOC_OCCUPANCY,Occupancy Documentation,0,CON_CERTIFICATE_OF_OCCUPANCY,FL_EQUIVALENT,Certificate of Occupancy / Certificate of Completion,"Local building department (city, or county for unincorporated / contracting cities)",county_or_municipality,Ch. 553 F.S. (Florida Building Code),known,
DOC_PATENTE_MUNICIPAL,Patente Municipal,3,CON_LOCAL_BUSINESS_TAX,FL_SPLIT,"County Local Business Tax Receipt + Municipal Local Business Tax Receipt (both, where both levy)",County tax collector + city business tax office,county_or_municipality,Ch. 205 F.S.; s. 205.053 (receipts expire Sept 30),known,PR patente is a gross-receipts rate; FL BTR is a classification-based fee -> patente_rate field not reusable; need per-locality classification/fee schedule
DOC_HEALTH_PERMIT,Health / Sanitary Permit,35,CON_SANITARY_LICENSE,FL_SPLIT,DBPR Public Food Service Establishment license (on-premises consumption) OR FDACS Food Establishment Permit (retail/grocery/bakery/manufacturing) OR DOH county-health-department permit (certain facility types),DBPR Div. of Hotels & Restaurants / FDACS Div. of Food Safety / FL DOH,state,Ch. 509 F.S. / Ch. 500 F.S. / Ch. 381 F.S.,known,35 PR rules target this doc; needs a routing fact (on-premises consumption / seating) to pick DBPR vs FDACS
DOC_FIRE_CERT,Fire Safety Certification (Certificado de Bomberos),30,CON_FIRE_INSPECTION,FL_EQUIVALENT,Local fire marshal inspection / annual fire inspection,"City fire dept, county fire rescue, or independent fire district",county_or_municipality,Ch. 633 F.S. (Florida Fire Prevention Code),known,authority varies by locality (incl. special fire districts) -> authority routing matrix
DOC_CFPM,Certified Food Protection Manager (CFPM),11,CON_FOOD_MANAGER_CERT,FL_EQUIVALENT,Certified Food Protection Manager + employee food handler training,DBPR Div. of Hotels & Restaurants (accepted national exams),state,s. 509.039 / s. 509.049 F.S.,known,national ANSI certificate -> node mostly reusable; add food-handler training doc
DOC_ALCOHOL_LICENSE,Alcohol Beverage License,5,CON_ALCOHOL_LICENSE,FL_EQUIVALENT,"Alcoholic beverage license (series by type, e.g. beer/wine, quota, special food service)",DBPR Div. of Alcoholic Beverages & Tobacco + local zoning sign-off,state,Ch. 561-565 F.S.,known,add local zoning approval + wet/dry county overlay + license series selection
DOC_PROFESSIONAL_LICENSE,Professional License,33,CON_PROFESSIONAL_LICENSE,FL_SPLIT,Profession-specific license,DBPR boards / DOH Medical Quality Assurance / The Florida Bar / others,state,Ch. 455 F.S. (DBPR) / Ch. 456 F.S. (DOH),known,33 PR rules target this doc; split by Q_LICENSE_TYPES
DOC_CONTRACTOR_LICENSE,Contractor License,15,CON_CONTRACTOR_LICENSE,FL_SPLIT,State-certified contractor (statewide) OR registered contractor (local competency) + local specialty licensing where applicable,DBPR Construction Industry Licensing Board / Electrical Contractors' Licensing Board / county licensing,state,Ch. 489 F.S.,known,registered licenses are scoped to the localities where competency is held
DOC_TOURISM_REGISTRATION,PRTC Innkeeper/Hotelier Registration (Registro de Posadero/Hotelero),9,CON_LODGING_LICENSE,FL_EQUIVALENT,"Public lodging establishment license (hotel, motel, vacation rental - dwelling or condo class)",DBPR Div. of Hotels & Restaurants,state,Ch. 509 F.S.,known,
DOC_INSURANCE,General Liability Insurance Certificate,5,CON_GENERAL_LIABILITY,GENERIC_REUSE,General Liability Insurance Certificate,Insurance carrier,private,,known,
