category,severity,from_entity,relationship,to_entity,problem,source,recommended_correction,remediation_status,owner_finding
duplicate_edge,P3,DOC_EIN,depends_on,DOC_CERT_INCORPORATION,4 copies,frontend/src/app/guidance/pr.ts:37,Preserve conditional edge semantics and remove duplicate projections.,"deferred: audit hypothesis, not live-verified",F18
disconnected,P3,MUN_ADJUNTAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:2,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_AGUADA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:3,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_AGUADILLA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:4,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_AGUAS_BUENAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:5,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_AIBONITO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:6,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_ANASCO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:7,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_ARECIBO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:8,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_ARROYO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:9,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_BARCELONETA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:10,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_BARRANQUITAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:11,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_BAYAMON,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:12,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CABO_ROJO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:13,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CAGUAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:14,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CAMUY,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:15,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CANOVANAS,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:16,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CAROLINA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:17,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CATANO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:18,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CAYEY,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:19,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CEIBA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:20,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CIALES,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:21,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CIDRA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:22,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_COAMO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:23,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_COMERIO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:24,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_COROZAL,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:25,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_CULEBRA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:26,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_DORADO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:27,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_FAJARDO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:28,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_FLORIDA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:29,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_GUANICA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:30,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_GUAYAMA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:31,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_GUAYANILLA,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:32,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_GUAYNABO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:33,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_GURABO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:34,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
disconnected,P3,MUN_HATILLO,degree,0,No derived incident edges (municipality flags are implicit),frontend/src/kb/municipalities.json:35,Check whether intentionally implicit; encode municipality/flag relationships if graph traversal is expected.,"deferred: audit hypothesis, not live-verified",S10
